ID,Latitude,Longitude,subspecies
Sample_1,30.01432,-83.8557,N_c_clarkii
Sample_2,30.01432,-83.8557,N_c_clarkii
Sample_3,30.01432,-83.8557,N_c_clarkii
Sample_4,30.01745,-83.87075,N_c_clarkii
Sample_5,30.01582,-83.86896,N_c_clarkii
Sample_6,30.01433,-83.85421,N_c_clarkii
Sample_7,30.01563,-83.86868,N_c_clarkii
Sample_8,30.02401,-84.3678,N_c_clarkii
Sample_9,29.5298,-83.3771,N_c_clarkii
Sample_10,30.01434,-83.85372,N_c_clarkii
Sample_11,30.01765,-83.87107,N_c_clarkii
Sample_12,30.01553,-83.86191,N_c_clarkii
Sample_13,30.02401,-84.3678,N_c_clarkii
Sample_14,30.02401,-84.3678,N_c_clarkii
Sample_15,30.02401,-84.3678,N_c_clarkii
Sample_16,30.02401,-84.3678,N_c_clarkii
Sample_17,29.41446,-83.20187,N_c_clarkii
Sample_18,29.40418,-83.20146,N_c_clarkii
Sample_19,29.39887,-83.20543,N_c_clarkii
Sample_20,28.83563,-82.62731,N_c_compressicauda
Sample_21,29.36071,-81.10959,N_c_compressicauda
Sample_22,28.92627,-82.65895,N_c_compressicauda
Sample_23,27.85456,-80.44854,N_c_compressicauda
Sample_24,27.7106,-82.68678,N_c_compressicauda
Sample_25,24.71717,-81.43548,N_c_compressicauda
Sample_26,27.85422,-80.44931,N_c_compressicauda
Sample_27,28.81816,-80.86005,N_c_compressicauda
Sample_28,28.81852,-80.85995,N_c_compressicauda
Sample_29,28.81832,-80.86,N_c_compressicauda
Sample_30,28.81716,-80.86062,N_c_compressicauda
Sample_31,28.81858,-80.85944,N_c_compressicauda
Sample_32,28.81693,-80.86053,N_c_compressicauda
Sample_33,28.81782,-80.8601,N_c_compressicauda
Sample_34,27.71064,-82.68662,N_c_compressicauda
Sample_35,27.93761,-80.4992,N_c_compressicauda
Sample_36,27.85449,-80.44854,N_c_compressicauda
Sample_37,27.71065,-82.68658,N_c_compressicauda
Sample_38,27.71065,-82.68658,N_c_compressicauda
Sample_39,28.92621,-82.65878,N_c_compressicauda
Sample_40,28.92722,-82.65899,N_c_compressicauda
Sample_41,25.42417,-80.46709,N_c_compressicauda
Sample_42,24.67119,-81.40401,N_c_compressicauda
Sample_43,24.69779,-81.32617,N_c_compressicauda
Sample_44,25.28428,-80.31403,N_c_compressicauda
Sample_45,25.28428,-80.31403,N_c_compressicauda
Sample_46,25.98289,-81.70393,N_c_compressicauda
Sample_47,27.46241,-82.65434,N_c_compressicauda
Sample_48,24.69037,-81.4167,N_c_compressicauda
Sample_49,24.61215,-81.55715,N_c_compressicauda
Sample_50,24.61215,-81.55715,N_c_compressicauda
Sample_51,24.61215,-81.55715,N_c_compressicauda
Sample_52,26.38027,-81.86351,N_c_compressicauda
Sample_53,27.80393,-80.43295,N_c_compressicauda
Sample_54,27.80393,-80.43295,N_c_compressicauda
Sample_55,27.80393,-80.43295,N_c_compressicauda
